,0
78550-260,-55.50906
13084-105,-47.07934
02305-001,-46.60338
20011-030,-43.17824
20240-051,-43.18827
80230-130,-49.26321
79825-090,-54.81293
76872-854,-63.03456
76963-792,-61.45201
57020-030,-35.73876
72215-506,-48.10308
76980-234,-60.14976
54735-903,-35.04043
09400-110,-46.41404
08210-090,-46.45481
80240-001,-49.29961
03566-000,-46.491
11410-192,-46.25881
70305-902,-47.8843
85650-970,-53.4832
17470-000,-49.40795
88340-281,-48.65195
29680-970,-40.38703
01310-901,-46.65279
71020-721,-47.98789
06850-100,-46.84812
88010-300,-48.5544
65150-970,-44.24591
69050-000,-60.02669
72125-170,-48.06625
88054-000,-48.46494
21070-032,-43.28092
70077-900,-47.88442
21740-001,-43.38388
24452-005,-43.00668
79040-010,-54.57807
53510-050,-34.89833
30130-002,-43.93653
30130-100,-43.92926
40150-060,-38.52347
31170-800,-43.92774
30130-007,-43.93126
53610-605,-34.91611
30441-021,-43.95888
45987-900,-39.72964
35500-001,-44.92484
20030-030,-43.17441
21941-902,-43.23437
13419-155,-47.63885
88075-110,-48.57896
88801-001,-49.36994
31270-901,-43.9599
79002-212,-54.60924
04321-090,-46.62753
30110-036,-43.93653
34710-100,-43.81088
29060-235,-40.2909
30190-081,-43.94737
40140-190,-38.52516
38022-100,-47.65295
79112-000,-54.6965
79006-540,-54.63692
79022-000,-54.60002
79051-000,-54.60191
65075-441,-44.29271
04384-090,-46.66137
65060-645,-44.24265
85865-000,-54.585
59020-100,-35.19864
86020-080,-51.16551
86082-000,-51.16605
68700-005,-47.18279
36190-970,-43.3431
60840-290,-38.49287
58300-220,-34.98196
87013-150,-51.99209
26130-000,-43.39525
57072-970,-35.79059
57037-630,-35.71139
57080-000,-35.74053
60140-060,-38.52051
61900-180,-38.62341
60020-181,-38.53614
59031-200,-35.21585
60025-061,-38.53256
60040-531,-38.52844
58038-680,-34.84332
74425-010,-49.30726
58038-000,-34.82965
22640-903,-43.35535
43805-000,-38.5443
54325-000,-34.9217
11660-650,-45.41722
08570-050,-46.35174
08550-100,-46.34189
52020-010,-34.89376
51020-040,-34.90071
83702-240,-49.40095
04764-000,-46.71454
59022-305,-35.20842
70160-900,-47.86072
88330-077,-48.6411
94810-000,-57.09365
74968-543,-49.25329
07700-210,-46.74871
83414-000,-49.22501
83501-000,-49.29852
06653-180,-46.93035
06803-400,-46.85244
07901-170,-46.74461
67030-000,-48.37548
24900-885,-42.81759
33805-640,-44.09058
88101-100,-48.61301
