index,CNPJ,SEQUENCIALDOCNPJ,DVDOCNPJ,NOMEINSTITUIÇÃO,SEGMENTO,CÓDCOMPEAG,NOMEAGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATAINÍCIO,DDD,FONE,IDINSTALAÇÃO,MUNICIPIOIBGE,LATITUDE,LONGITUDE,LATITUDE_v2,LONGITUDE_v2
12436,00.000.208,124,60,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,161,AGÊNCIA TJ CEILÂNDIA                                        ,"QNM 11, AE Nº 1",          ,FÓRUM CEILÂNDIA                                   ,CEILÂNDIA,72215-110,BRASILIA(CEILANDIA),DF,2013-01-11 00:00:00,61,337250400,9999367933,5300108,-15.81411,-48.10405,,
12437,00.000.208,26,69,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,26,CEILANDIA                                                   ,"CNM 01, BLOCO B",          ,                                                  ,CEILANDIACENTRO,72215-500,BRASILIA(CEILANDIA),DF,1979-08-03 00:00:00,61,33221515,9999990697,5300108,-15.81852,-48.10315,,
12440,60701190,4000,30,ITAÚ UNIBANCO S.A.,Banco Múltiplo,8394,BRASÍLIA/CEILANDIA                                          ,"Q QNN 2, S/Nº",          ,CONJ. F - LOTE 3 - LOJA 3 - PARTE                 ,CEILANDIASUL,72220-020,BRASILIA,DF,26/10/2009 ,11,30034828,9999589880,5300108,-15.8226,-48.10883,,
12441,00.000.208,70,32,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,174,CEILÂNDIA SUL                                               ,"QNN 30 , AREA ESPECIAL I",          ,"LOJAS 1, 2, 3 E 101 - CEISHOP                     ",CEILANDIA,72220-309,BRASILIA(CEILANDIA),DF,1997-02-01 00:00:00,61,33221515,9999990657,5300108,-15.83587,-48.11092,,
12442,00.000.208,78,90,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,79,HELIO PRATES                                                ,CNN 02 BLOCO C,          ,LOTES 06 E 07                                     ,CEILANDIA,72220-503,BRASILIA(CEILANDIA),DF,2007-10-08 00:00:00,61,33221515,9999686139,5300108,-15.82256,-48.11388,,
12445,00.000.208,43,60,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,43,CEILANDIA NORTE                                             ,"QNN 25, CONJ C",          ,LOTES 2/4                                         ,CEILANDIANORTE,72225-250,BRASILIA(CEILANDIA),DF,1990-01-03 00:00:00,61,33221515,9999990684,5300108,-15.80514,-48.12595,,
12446,00.000.208,84,38,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,83,P SUL                                                       ,"QUADRA 01, CONJ. C, LOTE 24",          ,ADE CENTRO-NORTE                                  ,CEILÂNDIA,72237-130,BRASILIA(CEILANDIA),DF,18/06/2012 ,61,33221515,9999430687,5300108,-15.74703,-47.92411,,
12447,00.000.208,125,40,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,222,AGÊNCIA TJ SAMAMBAIA                                        ,"ÁREA URBANA 01, Q. 302, TÉRREO",          ,ED. FORUM DE SAMAMBAIA                            ,SAMAMBAIA,72300-630,BRASILIA(SAMAMBAIA),DF,2013-01-11 00:00:00,61,335771570,9999367931,5300108,-15.80358,-47.892,,
12449,00.000.208,131,99,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,280,AGÊNCIA SAMAMBAIA SUL                                       ,QN 304 CONJUNTO 03 LOTE,2,                                                  ,SUL,72306-003,BRASILIA(SAMAMBAIA),DF,2014-06-05 00:00:00,61,33221515,9999346732,5300108,-15.87685,-48.08048,,
12450,00.000.208,53,31,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,53,SAMAMBAIA                                                   ,"QN 206, CONJUNTO A",          ,LOTE 01                                           ,SAMAMBAIA,72316-500,BRASILIA(SAMAMBAIA),DF,1991-12-09 00:00:00,61,33221515,9999990674,5300108,-15.87579,-48.10847,,
12451,90400888,3078,92,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2105,001 2105 SAMAMBAIA-BRASILIA-DF                              ,"QUADRA QN 206, S/N",          ,CONJ A LOTE 02                                    ,SAMAMBAIANORTE,72316-501,BRASILIA(SAMAMBAIA),DF,2019-02-10 00:00:00,11,35530372,9999163197,5300108,-15.86508,-48.0803,,
12454,60701190,2890,90,ITAÚ UNIBANCO S.A.,Banco Múltiplo,6939,BRASÍLIA/SATÉLITE SAMAMBAIA                                 ,"QS 408, S/N-",          ,CONJUNTO E - LOTES 01 E 02 - LOJA 01 - SUBSOLO    ,SATÉLITESAMAMBAIA,72318-595,BRASILIA,DF,25/09/2006 ,11,30034828,9999721380,5300108,-15.86325,-48.07952,,
12455,60701190,2704,3,ITAÚ UNIBANCO S.A.,Banco Múltiplo,5079,BRASÍLIA/SATÉLITE GAMA                                      ,"BLOCO 2 - LOTES 2,4,6,8",          ,SETOR CENTRAL COMERCIAL                           ,GAMA,72404-000,BRASILIA,DF,30/08/2005 ,11,30034828,9999769365,5300108,-15.83227,-48.05525,,
12456,60746948,2357,72,BANCO BRADESCO S.A.,Banco Múltiplo,2113,"GAMA-CIDADE SATELITE, DF                                    ","SETOR SCC PROJEÇÃO 11, S/N",          ,                                                  ,SETORCENTRAL(GAMA),72404-110,BRASILIA(GAMA),DF,1987-09-03 00:00:00,61,5567050,9999966283,5300108,-15.83227,-48.05525,,
12457,00.000.208,6,15,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,104,GAMA                                                        ,SCC  BLOCO 1,          ,LOTES 1/19                                        ,GAMA,72405-015,BRASILIA(GAMA),DF,28/11/1968 ,61,33221515,9999990717,5300108,-15.83227,-48.05525,,
12460,00.000.208,107,69,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,143,AGÊNCIA PMDF/GAMA                                           ,AREA ESPECIAL 2,          ,SETOR SUL                                         ,GAMA,72405-610,BRASILIA(GAMA),DF,2013-01-11 00:00:00,61,348468630,9999367978,5300108,-15.7823,-47.99748,,
12461,00.000.208,118,11,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,144,AGÊNCIA SES-DF/HRG                                          ,"SETOR. CENTRAL, ÁREA ESPECIAL",          ,HOSP REGION GAMA                                  ,GAMA,72405-901,BRASILIA(GAMA),DF,2013-01-11 00:00:00,61,338405220,9999367943,5300108,-15.7823,-47.99748,,
12462,90400888,3038,3,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,1942,001 1942 GAMA-BRASILIA-DF                                   ,"QUADRA 2 - CONJUNTO A LOTE 16, S/N",          ,SETOR SUL GAMA                                    ,SETORSUL-GAMA,72415-100,BRASILIA(GAMA),DF,2018-12-07 00:00:00,61,3110585,9999209141,5300108,-15.83667,-48.05644,,
