,Unnamed: 0,0
107,01042-001,-22.6345114
108,01042-001,-22.6086849
109,01043-000,-22.3664524
110,01044-000,-22.3163404
111,01044-000,-22.2327091
112,01044-000,-22.0604521
113,01044-908,-21.977819
114,01044-908,-21.8698286
115,01045-000,-22.6961796
116,01045-001,-22.7485717
117,01045-001,-22.5947659
118,01045-001,-22.4799924
119,01045-001,-22.5183766
120,01045-001,-22.6066321
121,01045-001,-22.1755019
122,01046-010,-22.1373636
123,01046-913,-21.276215
124,01062-900,-21.3238278
125,01101-010,-21.2105166
126,01102-050,-20.9827531
127,01109-010,-21.4805366
128,01123-000,-21.6065217
129,01123-001,-21.3015197
130,01123-010,-21.3303726
131,01125-000,-21.509014
132,01125-001,-20.865971
133,01125-001,-21.0567868
134,01125-001,-21.0480414
135,01125-001,-20.7188492
136,01125-001,-20.6371373
137,01125-001,-20.5959568
138,01125-001,-20.3586965
139,01126-000,-20.2290521
140,01126-000,-20.0710428
141,01126-000,-20.3223884
142,01126-000,-20.2382213
143,01128-000,-20.0706703
144,01131-000,-20.1553252
145,01133-020,-20.1973069
146,01138-000,-20.4894632
147,01139-001,-20.5765357
148,01139-001,-20.4174035
149,01139-001,-20.7171732
150,01150-010,-20.6974477
151,01152-000,-20.8208362
152,01202-002,-20.7082891
153,01202-002,-20.961592
154,01202-002,-21.1389434
155,01205-001,-20.8890637
156,01206-000,-20.782319
157,01206-000,-20.8740173
158,01206-000,-20.7697246
159,01206-000,-21.0035209
160,01206-000,-20.7626672
161,01206-000,-20.6383449
162,01206-001,-20.3200638
163,01207-010,-20.2679454
164,01214-000,-21.9497383
165,01216-012,-21.7300823
166,01217-011,-21.6649861
167,01226-010,-21.6018957
168,01226-010,-21.3919119
169,01227-000,-21.3556749
170,01227-000,-21.2397333
171,01227-200,-21.5592636
172,01227-200,-21.7069692
173,01227-200,-21.7604164
174,01227-200,-21.9046866
175,01227-200,-21.7931642
176,01228-100,-21.6313458
177,01228-100,-21.4682523
178,01228-200,-21.3588145
179,01228-200,-21.2705438
180,01228-200,-21.1001256
181,01229-001,-20.7427838
182,01232-000,-20.9228079
183,01234-000,-20.8815353
184,01234-001,-20.8353376
185,01234-010,-20.6900957
186,01234-010,-20.5888227
187,01234-010,-20.7359953
188,01234-010,-20.7703838
189,01234-010,-20.5422693
190,01236-030,-20.6359179
191,01236-030,-20.6700393
192,01236-030,-21.0595613
193,01238-000,-21.0705383
194,01240-001,-21.1998994
195,01240-001,-21.2743115
196,01240-001,-20.8928965
197,01240-001,-20.8441109
198,01242-000,-20.8657686
199,01242-000,-21.0312815
200,01301-000,-20.6535735
201,01301-100,-20.5435907
202,01302-000,-20.79441
203,01302-001,-20.8777554
204,01302-001,-20.6336382
205,01302-001,-20.6439664
206,01302-001,-20.6312603
207,01302-001,-20.4363727
208,01302-001,-20.7258379
209,01302-001,-20.8718112
210,01302-903,-20.3847649
211,01302-903,-20.9487174
212,01304-001,-20.5383521
213,01305-000,-20.4510209
214,01305-100,-20.6096441
215,01307-001,-20.4053212
216,01307-002,-20.3401232
217,01308-000,-20.2027862
218,01310-000,-20.0802806
219,01310-000,-20.015942
220,01310-000,-20.4056611
221,01310-000,-20.4080701
222,01310-000,-20.282071
223,01310-000,-20.3156287
224,01310-000,-20.0826867
225,01310-000,-20.2645369
226,01310-000,-20.2584197
227,01310-000,-19.8964777
228,01310-000,-19.903174
229,01310-000,-19.9381465
230,01310-100,-20.4263954
231,01310-100,-20.4707873
232,01310-100,-20.0638395
233,01310-100,-20.0301724
234,01310-100,-20.166599
235,01310-100,-20.243551
236,01310-100,-20.1312984
237,01310-100,-21.1451492
238,01310-100,-21.0968826
239,01310-100,-21.0156896
240,01310-100,-21.0985545
241,01310-100,-21.2069109
242,01310-100,-21.37311
243,01310-100,-21.2097418
244,01310-100,-21.0670008
245,01310-100,-21.0591169
246,01310-200,-20.9303531
247,01310-200,-20.9263926
248,01310-200,-20.9339465
249,01310-200,-21.4629841
250,01310-200,-21.2554101
251,01310-300,-21.3503084
252,01310-300,-21.3031806
253,01310-300,-21.3254628
254,01310-300,-21.1713424
255,01310-300,-21.440192
256,01310-300,-21.4286402
257,01310-300,-21.4915144
258,01310-300,-21.554443
259,01310-300,-21.6665079
260,01310-901,-21.5755318
261,01310-901,-21.3657418
262,01310-901,-21.6709647
263,01310-901,-21.4745148
264,01310-901,-21.453067
265,01310-901,-21.5731186
266,01310-901,-21.4472014
267,01310-901,-21.7604658
268,01310-901,-21.8844717
269,01310-901,-21.7751502
270,01310-901,-21.9867806
271,01310-901,-21.7288988
272,01310-901,-21.2906244
273,01310-901,-21.1094122
274,01310-901,-21.0640978
275,01310-910,-21.2004905
276,01310-916,-20.9021515
277,01310-916,-21.0092743
278,01310-916,-21.0891135
279,01310-916,-22.5698961
280,01310-917,-22.0760509
281,01310-917,-21.9197741
282,01310-917,-21.8765628
283,01310-917,-22.1102912
284,01310-918,-22.0560779
285,01310-919,-22.4837317
286,01310-919,-22.3458771
287,01310-923,-22.4353496
288,01310-923,-22.4728113
289,01310-925,-22.5506487
290,01310-928,-22.425332
291,01310-928,-22.5807849
292,01310-930,-22.270984
293,01310-930,-22.5330084
294,01310-930,-22.299635
295,01310-930,-22.4862827
296,01310-930,-22.4380876
297,01310-930,-22.4486936
298,01310-930,-22.2408743
299,01310-930,-21.9422485
300,01310-930,-21.7939558
301,01310-930,-21.948245
302,01310-930,-21.9354842
