,0
61600-040,-3.7345
25900-001,-22.65706
68456-760,-3.78144
78550-260,-11.85459
13084-105,-22.82878
02305-001,-23.48154
20011-030,-22.90096
20240-051,-22.91626
80230-130,-25.44306
79825-090,-22.21858
76872-854,-9.90071
76963-792,-11.43611
57020-030,-9.66475
72215-506,-15.81816
76980-234,-12.73775
54735-903,-7.99822
09400-110,-23.70968
08210-090,-23.53905
80240-001,-25.45026
03566-000,-23.54006
11410-192,-23.99696
70305-902,-15.80291
85650-970,-25.81611
17470-000,-22.4144
88340-281,-27.02258
29680-970,-19.75481
01310-901,-23.56351
71020-721,-15.81071
06850-100,-23.70692
88010-300,-27.59403
65150-970,-2.93964
69050-000,-3.10954
72125-170,-15.81224
88054-000,-27.42889
21070-032,-22.84055
70077-900,-15.79075
21740-001,-22.88305
24452-005,-22.8189
79040-010,-20.45758
53510-050,-7.9155
30130-002,-19.92249
30130-100,-19.9253
40150-060,-12.99917
31170-800,-19.86301
30130-007,-19.93083
53610-605,-7.82317
30441-021,-19.93298
45987-900,-17.53669
35500-001,-20.13458
20030-030,-22.90994
21941-902,-22.84319
13419-155,-22.73425
88075-110,-27.58927
88801-001,-28.67981
31270-901,-19.8591
79002-212,-20.4573
04321-090,-23.38128
30110-036,-19.93999
34710-100,-19.89172
29060-235,-20.28755
30190-081,-19.92089
40140-190,-13.00839
38022-100,-19.70319
79112-000,-20.44999
79006-540,-20.47363
79022-000,-20.44031
79051-000,-20.47939
65075-441,-2.50348
04384-090,-23.66302
65060-645,-2.52522
85865-000,-25.51138
59020-100,-5.79155
86020-080,-23.31493
86082-000,-23.26088
68700-005,-1.19328
36190-970,-21.1967
60840-290,-3.83085
58300-220,-7.12347
87013-150,-23.4116
26130-000,-22.77079
57072-970,-9.54092
57037-630,-9.64497
57080-000,-9.60835
60140-060,-3.73476
61900-180,-3.87561
60020-181,-3.73771
59031-200,-5.80047
60025-061,-3.73966
60040-531,-3.75008
58038-680,-7.10215
74425-010,-16.67831
58038-000,-7.10444
22640-903,-22.9995
43805-000,-12.67071
54325-000,-8.16708
11660-650,-23.62442
08570-050,-23.47575
08550-100,-23.51813
52020-010,-8.04525
51020-040,-8.12629
83702-240,-25.59557
04764-000,-23.66979
59022-305,-5.80708
70160-900,-15.80097
88330-077,-26.98841
94810-000,-29.75845
74968-543,-16.8174
07700-210,-23.36422
83414-000,-25.2923
83501-000,-25.31151
06653-180,-23.54668
06803-400,-23.64933
07901-170,-23.28247
67030-000,-1.36764
24900-885,-22.91757
33805-640,-19.76565
88101-100,-27.59204
06768-000,-23.61353
04710-160,-23.62487
12281-010,-23.10187
11045-301,-23.97161
88160-130,-27.49823
53030-010,-8.00335
88132-149,-27.64205
34505-320,-19.89133
28941-068,-22.84013
13220-001,-23.21287
93220-680,-29.82692
78110-302,-15.64819
57680-970,-9.64209
68550-005,-8.03114
01529-000,-23.56746
13215-900,-23.17077
13480-743,-22.56147
59140-260,-5.91494
01013-001,-23.54751
31270-122,-19.86827
