,0
36893-000,-20.8527562
36900-000,-20.1919069
36910-000,-20.4393069
36930-000,-20.0612024
36950-000,-19.7674038
36955-000,-19.9125279
36960-000,-19.580955
36970-000,-20.3403274
36976-000,-20.4442739
36980-000,-20.1217728
37110-000,-21.6177232
37115-000,-21.3150641
37120-000,-21.5679739
37130-000,-21.4173075
37140-000,-21.3537722
37145-000,-21.2406306
37148-000,-21.1137939
37150-000,-20.9384974
37160-000,-21.2669413
37170-000,-21.0165478
37190-000,-21.4171181
37195-000,-21.2670478
37200-000,-21.2659139
37220-000,-21.0363234
37225-000,-21.4658915
37235-000,-21.1795085
37250-000,-21.1918613
37260-000,-21.0794915
37262-000,-20.9178035
37264-000,-21.1540674
37270-000,-20.9674784
37275-000,-20.8417257
37278-000,-20.880517
37280-000,-20.7432347
37300-000,-21.718564
37350-000,-22.0198748
37400-000,-21.8420605
37405-000,-21.7298505
37410-000,-21.6903431
37418-000,-21.7139253
37420-000,-21.8657333
37430-000,-21.9013815
37440-000,-21.96324
37443-000,-21.9897709
37445-000,-21.7651838
37450-000,-21.9664321
37460-000,-22.3988138
37464-000,-22.3002064
37465-000,-22.3380866
37466-000,-22.3154725
37470-000,-22.1123693
37476-000,-22.1907632
37480-000,-22.0045207
37484-000,-22.056078
37490-000,-21.8933014
37514-000,-22.5404561
37517-000,-22.3276853
37520-000,-22.2557397
37524-000,-22.1183619
37530-000,-22.5213497
37540-000,-22.2200666
37542-000,-22.4753947
37545-000,-22.3596657
37548-000,-22.4351056
37550-000,-22.2480373
37564-000,-22.2621782
37570-000,-22.2508537
37578-000,-22.4784057
37580-000,-22.4160196
37590-000,-22.3023096
37600-000,-22.577108
37620-000,-22.6173051
37640-000,-22.8326668
37650-000,-22.7540506
37653-000,-22.8632608
37660-000,-22.5613519
37720-000,-21.6433562
37730-000,-21.6689395
37750-000,-21.6437404
37757-000,-21.8201436
37775-000,-21.9720912
37780-000,-21.8710942
37795-000,-22.0738291
37800-000,-21.299654
37810-000,-21.2352558
37820-000,-21.373599
37860-000,-21.1123858
37880-000,-21.491587
37890-000,-21.35188
37900-000,-20.7246522
37925-000,-20.4616733
37940-000,-20.8850342
37945-000,-20.7606769
37948-000,-21.0225465
37950-000,-20.9271977
37958-000,-21.2080662
37965-000,-21.0585357
37968-000,-21.1910966
37970-000,-20.7896516
37975-000,-20.7534878
37980-000,-20.5220395
37990-000,-20.4171273
38120-000,-19.971623
38130-000,-19.752931
38140-000,-19.3769113
38160-000,-19.226306
38170-000,-19.3473585
38175-000,-19.3882364
38190-000,-19.8502345
38195-000,-19.8924883
38200-000,-19.9981166
38210-000,-19.9327942
38220-000,-20.090056
38230-000,-20.2241835
38240-000,-19.7706354
38270-000,-19.4395662
38280-000,-19.7270406
38290-000,-19.6991558
38295-000,-19.390396
38310-000,-19.1695687
38320-000,-18.9408561
38360-000,-18.7225855
38380-000,-18.7931976
38390-000,-18.6309597
38400-000,-18.9108999
38430-000,-18.5109396
38465-000,-18.438835
38475-000,-18.8706332
38490-000,-18.9646166
38500-000,-18.7024324
38510-000,-19.0585683
38525-000,-18.6916836
38550-000,-18.4364551
38570-000,-17.7893536
38600-000,-17.1468375
38610-000,-16.1180631
38640-000,-16.271096
38650-000,-16.498147
38660-000,-15.5262494
38680-000,-15.6688416
38700-000,-18.595347
38720-000,-18.8242274
38730-000,-18.8605771
38735-000,-18.9758606
38740-000,-18.998706
38750-000,-18.1759901
38760-000,-19.1400405
38770-000,-17.5471154
38779-000,-16.9011938
38780-000,-17.7050221
38785-000,-18.1557751
38790-000,-18.1068796
38800-000,-19.3339956
38810-000,-19.2263203
38840-000,-18.9294437
38880-000,-18.9400832
38900-000,-20.0357958
38910-000,-20.1641236
38950-000,-19.4685281
38970-000,-19.6807948
39100-000,-18.1759901
39120-000,-18.5547431
39130-000,-18.5107882
39150-000,-18.515003
39170-000,-18.2473581
39200-000,-18.3591857
39205-000,-18.2704265
39230-000,-17.9136773
39260-000,-17.4725042
39270-000,-17.4348147
39280-000,-17.1885187
39300-000,-15.9274518
39320-000,-16.3575422
39330-000,-16.2382608
39340-000,-16.6986893
39370-000,-17.1935192
39390-000,-17.0904525
39430-000,-15.9084105
39440-000,-15.7288113
39450-000,-15.6417201
39460-000,-14.6651796
39470-000,-15.0738149
39480-000,-15.4926502
39495-000,-14.4487104
39500-000,-15.2036298
39508-000,-15.2122789
39510-000,-14.7710261
39517-000,-15.5362405
39520-000,-15.7031964
39527-000,-15.3885444
39530-000,-15.6582271
39540-000,-15.3204298
39550-000,-15.7703021
39560-000,-16.0802242
39570-000,-16.4390562
39580-000,-16.4298262
39600-000,-16.9775746
39620-000,-16.3081637
39625-000,-16.5925818
39630-000,-16.6993954
39640-000,-16.8102876
39648-000,-17.1557457
39650-000,-17.3104025
39660-000,-17.256018
39665-000,-17.4467354
39670-000,-17.8314987
39680-000,-17.7159082
39690-000,-17.8201448
39700-000,-18.5503279
39705-000,-18.4987051
39707-000,-18.2551155
39710-000,-18.6154176
39730-000,-18.7861255
39740-000,-18.8424187
39750-000,-18.6248754
39770-000,-18.249976
39780-000,-18.2892566
39784-000,-18.3524279
39790-000,-18.0063507
39795-000,-18.0188934
39815-000,-17.3338793
39818-000,-17.0490108
39820-000,-17.4328946
39825-000,-17.5981969
39827-000,-17.8270725
39830-000,-18.1880676
39835-000,-18.2824489
39848-000,-18.4160917
39850-000,-18.1466704
39860-000,-17.7905538
39864-000,-17.7178133
39868-000,-17.7777582
39873-000,-17.0790609
39880-000,-17.0344617
39890-000,-16.7567067
39895-000,-16.6327314
39900-000,-16.0971366
39912-000,-15.755418
39915-000,-15.7485661
39925-000,-16.1102256
39930-000,-16.1900857
39935-000,-16.4923732
39940-000,-16.6950288
39945-000,-16.7814241
39950-000,-16.4596785
39960-000,-16.4510937
39970-000,-15.9280417
39980-000,-15.9862732
39990-000,-15.7311162
40223-060,38.2586184
42600-000,-12.7396915
42700-000,-12.8528438
42800-000,-12.7331327
42850-000,-12.6093221
43700-000,-12.7700716
43850-000,-12.5057978
43900-000,-12.6654745
44190-000,-12.4754252
44200-000,-12.5612226
44230-000,-12.3349159
44245-000,-12.417342
44250-000,-12.2150246
44255-000,-12.034087
44300-000,-12.5999658
44330-000,-12.4349462
44340-000,-12.6245549
44360-000,-12.6690721
44380-000,-12.6850279
44400-000,-12.9334191
44420-000,-12.8346509
44460-000,-12.905073
44470-000,-13.0229254
44500-000,-12.7390164
44530-000,-12.734552
44540-000,-12.8891538
44600-000,-12.1880654
44620-000,-11.9992981
44630-000,-11.7043868
44640-000,-11.7534447
44660-000,-12.0649268
44695-000,-11.3121833
44700-000,-11.1680049
44720-000,-11.4596773
44740-000,-10.8733451
44770-000,-10.7281603
44790-000,-10.1914246
44800-000,-11.9430156
44830-000,-11.7088712
44840-000,-11.9007479
44850-000,-11.5824509
44880-000,-11.773705
44900-000,-11.2995547
44905-000,-11.5007785
44915-000,-11.083273
44930-000,-11.2653665
44970-000,-11.5746147
44990-000,-12.0208416
45120-000,-14.9157624
45140-000,-15.1608866
45150-000,-15.5852913
45157-000,-15.3041314
45160-000,-14.9969644
45180-000,-14.5158451
45190-000,-14.722804
45260-000,-14.5124962
45270-000,-14.8500347
45280-000,-14.63891
45300-000,-13.0479893
45315-000,-12.9128361
45345-000,-13.5362103
45350-000,-13.4743387
45360-000,-13.5307334
45375-000,-13.1738947
45400-000,-13.3730155
45416-000,-13.4634203
45430-000,-13.5779092
45435-000,-13.7377962
45440-000,-13.6391827
45445-000,-13.9974407
45450-000,-13.7968333
45465-000,-13.5615071
45480-000,-13.296834
45530-000,-14.3636967
45545-000,-14.2581428
45550-000,-14.0699124
45570-000,-14.0526425
45580-000,-13.9468358
45585-000,-14.2329823
45590-000,-14.4129348
45610-000,-15.1253974
45630-000,-14.6737265
45638-000,-14.6486494
45680-000,-14.5154982
45690-000,-15.2090734
45700-000,-15.3425921
45745-000,-14.8483688
45760-000,-15.5302694
45770-000,-15.6954953
45780-000,-15.6490981
45790-000,-15.7027637
45800-000,-15.9707962
45807-000,-16.2454554
45810-000,-16.5566178
45816-000,-16.4841164
45818-000,-16.5930276
45836-000,-17.0656965
45848-000,-16.6857761
45850-000,-16.088104
45860-000,-15.6903468
45880-000,-15.447943
45920-000,-17.8938032
45928-000,-17.8880299
45930-000,-18.1573155
45936-000,-17.9895862
45960-000,-17.3079902
45970-000,-17.0657942
45980-000,-17.113087
45995-000,-17.5677476
46100-000,-14.1968614
46110-000,-14.3572929
46140-000,-13.8336148
46170-000,-13.5425099
46190-000,-13.5185907
46200-000,-14.9006634
46220-000,-14.3060108
46250-000,-14.7472721
46290-000,-14.9960892
46300-000,-14.4765776
46330-000,-14.5897212
46350-000,-14.7585823
46380-000,-14.4058011
46400-000,-13.9826834
46430-000,-14.2082066
46445-000,-14.0119593
46460-000,-14.1500098
46470-000,-13.6013924
46500-000,-13.2308059
46530-000,-12.7959196
46550-000,-13.1844084
46570-000,-13.323635
46600-000,-14.1194374
46640-000,-13.817229
46650-000,-13.5814626
46750-000,-13.0454059
46760-000,-13.3430424
46765-000,-12.9831011
46800-000,-12.1936054
46810-000,-12.0635085
46820-000,-12.0204098
46830-000,-12.6650885
46860-000,-12.8454679
46875-000,-12.8154201
46880-000,-12.5477492
46900-000,-12.5444681
46930-000,-12.5606719
46960-000,-12.3857844
46970-000,-12.2686701
46980-000,-12.2684648
47100-000,-11.0897822
47120-000,-10.5805663
47150-000,-10.9723294
47200-000,-9.6681805
47240-000,-10.1273252
47300-000,-9.2481564
47350-000,-10.0451021
47400-000,-11.0515851
47500-000,-12.5896471
47520-000,-11.9590294
47530-000,-12.2194586
47590-000,-11.8189058
47600-000,-13.2786154
47630-000,-13.4685842
47640-000,-13.1603524
47650-000,-13.4996213
47690-000,-13.7649533
47700-000,-12.9730966
47740-000,-12.8346755
47820-000,-12.7576593
47830-000,-12.5935881
47850-000,-12.2071612
47940-000,-11.868941
47960-000,-12.0004736
47970-000,-11.5527175
47990-000,-11.1947453
48110-000,-12.3639362
48120-000,-12.3501011
48180-000,-12.0455021
48280-000,-12.4778706
48300-000,-11.8095607
48330-000,-11.5438185
48360-000,-11.6281921
48370-000,-11.8588187
48400-000,-10.783171
48410-000,-10.5732996
48430-000,-10.6670645
48450-000,-11.1390719
48460-000,-11.3035518
48470-000,-11.4040468
48475-000,-11.2362892
48480-000,-11.5048979
48490-000,-11.77903
48500-000,-10.4206676
48540-000,-10.0036656
48570-000,-9.7246765
48580-000,-10.0524698
48630-000,-9.150660799999999
48680-000,-8.8822495
48700-000,-11.6855268
48730-000,-11.5576676
48760-000,-11.2568167
48790-000,-11.0114418
48800-000,-10.3856456
48830-000,-10.7704468
48840-000,-10.7206635
48850-000,-10.6884685
48860-000,-11.1269274
48880-000,-11.2049412
48890-000,-11.3830136
48925-000,-9.6805253
48930-000,-9.2899269
48950-000,-9.888747200000001
48960-000,-10.0841839
48970-000,-10.4757097
49008-900,42.2609411
49100-000,-10.9666739
49120-000,-11.1173904
49130-000,-10.7362356
49140-000,-10.8512419
49160-000,-10.8876952
49170-000,-10.8064536
49180-000,-10.7610206
49190-000,-10.6339695
49200-000,-11.243418
49250-000,-11.4729433
49260-000,-11.4160683
49270-000,-11.4786656
49290-000,-11.2684699
49300-000,-11.0060992
49320-000,-11.0589239
49360-000,-11.1212756
49400-000,-10.9057388
49480-000,-10.8066059
49490-000,-10.8323027
49500-000,-10.7015405
49514-000,-10.5440373
49520-000,-10.7644774
49530-000,-10.5086496
49540-000,-10.3321541
49550-000,-10.3833506
49570-000,-10.6710534
49580-000,-10.7884789
49600-000,-10.4630993
49630-000,-10.5871224
49680-000,-10.1834152
49700-000,-10.4546371
49740-000,-10.6560811
49760-000,-10.6877825
49770-000,-10.7432035
49790-000,-10.240278
